word, value
abadi,2
abaikan,-2
absen,-1
abu-abu,-1
acuh tak acuh,-2
adil,2
agresi,-2
agresif,-2
agung,3
aib,-2
air mata,-2
ajaib,3
aktif,1
akui,-1
alami,1
alat tenun,-1
alergi,-2
aman,2
ambisius,2
ambivalen,-1
ancaman,-2
andalan,2
aneh,1
anehnya,-1
antagonis,-2
anti,-1
antisipasi,1
antusias,3
anugerah,4
apatis,-3
api,-2
apokaliptik,-2
apresiasi,2
arah yang benar,3
aset,2
asyik,1
atas,2
atasan,2
atraksi,2
awet muda,2
ayam,-5
bagaimana,-4
bagus,3
bahagia,3
bahaya,-2
baik hati,2
baiklah,2
bajingan,-4
balas dendam,-2
banci,-3
bangga,2
bangkrut,-3
bankir,-3
bantuan,2
barang keren,3
baru,2
batalkan,-1
batas,-1
batasan,-1
batasi,-2
bayar,-1
beban,-2
bek,2
belas kasihan,2
belum dikonfirmasi,-1
belum diteliti,-2
BENAR,2
bencana,-3
benci,-3
bentrokan,-2
berani,3
berantakan,-2
berat hati,-2
berbagi,1
berbahaya,-2
berbakti,3
berbohong,-2
berbudi luhur,2
berdamai,2
berdarah,-3
berdedikasi,2
berdoa,1
berdosa,-3
berduka,-2
berduri,-2
bereaksi berlebihan,-2
bergabung,1
bergantung,2
berguna,2
berhak,1
berhantu,-2
berharap,2
berhasil,2
berhenti,-1
berinovasi,1
berisik,-1
berjuang,-2
berjubah,-2
berkah,3
berkelas,3
berkembang,1
berkilau,3
berkolusi,-3
berkomitmen,1
berlebihan,-2
berlian,1
bermakna,2
bermanfaat,2
bermasalah,-2
bermusuhan,-2
bernilai,2
berpendapat,-1
berpengaruh,2
berperilaku buruk,-2
berpikiran tunggal,-2
berpura-pura,-1
bersaing,-1
bersalah,-3
bersatu,1
berselisih,-2
bersemangat,4
bersembunyi,-1
bersih,2
bersorak,2
bersukacita,4
bersumpah,-2
bersyukur,3
bertabrakan,-1
bertahan hidup,2
bertanggung jawab,2
bertentangan,-2
bertepuk tangan,2
berteriak,-2
beruntung,3
besar,1
bias,-2
biasa-biasa saja,-3
biaya,-2
bijaksana,2
bimbang,-1
bingung,-2
bla,-2
blockbuster,3
blok,-1
bocor,-1
bodoh,-2
bodohnya,-2
boikot,-2
bom,-1
bosan,-2
brengsek,-3
brilian,4
buang,-1
bunga,1
bunuh,-3
bunuh diri,-2
buram,-2
buruk,-3
busuk,4
buta,-1
buta huruf,-2
cabul,-2
cacat,-3
calo,-2
canggih,2
canggung,-2
cantik,3
cedera,-2
celakalah,-2
cemas,-2
cemberut,-2
cemburu,-2
cemoohan,-2
cengeng,-1
cepat,2
cerah,1
cerdas,2
cerdik,-2
ceria,3
ceroboh,-2
cibiran,-2
cinta,3
ciuman,2
cocok,1
cuci otak,-3
cucian hijau,-3
curang,-3
curiga,-1
damai,2
dana talangan,-2
dapat dicapai,1
dapat dihibur,2
dapat diperebutkan,-2
darurat,-2
daya tahan,2
debonair,2
defisit,-2
demonstrasi,-1
demoralisasi,-2
dendam,-2
dengan aman,1
dengan bangga,2
dengan berani,2
dengan cepat,2
dengan damai,2
dengan elegan,2
dengan gagah,3
dengan gembira,3
dengan gugup,-2
dengan pahit,-2
dengan tulus,2
destruktif,-3
dewasa,2
diabaikan,-2
diamankan,2
diampuni,2
diangkat,2
dianiaya,-2
dibagikan,1
dibatalkan,-1
dibatasi,-2
dibebankan,-3
dibebaskan,2
dibebaskan dari tuduhan,2
dibenarkan,2
dibenci,-3
diberikan,3
dibersihkan,1
diblokir,-1
diboikot,-2
dibuang,-2
dibuat-buat,-1
dicegah,-1
dicintai,3
diculik,-2
dicurangi,-1
dicuri,-2
didiskon,-1
didiskreditkan,-2
didiskualifikasi,-2
didorong,2
diduga,-1
didukung,2
diejek,-2
dieksploitasi,-2
digagalkan,-2
dihargai,2
dihina,-2
dihindari,-1
dihormati,2
dihukum,-2
diindoktrinasi,-2
diinginkan,2
diinterogasi,-2
diintimidasi,-2
dijanjikan,1
dikagumi,3
dikalahkan,-2
dikecualikan,-2
dikenakan,-1
dikhianati,-3
dikritik,-2
dikutuk,-2
dilanggar,-2
dilarang,-2
dilema,-1
dilenyapkan,-2
dilindungi,1
diluncurkan,1
dimanipulasi,-1
dimonopoli,-2
dingin,-1
dipaksa,-2
dipalsukan,-3
dipecat,-2
dipenjara,-2
diperbudak,-2
diperburuk,-2
dipercayakan,2
diperdaya,-2
diperingatkan,-2
dipermalukan,-3
diperoleh,2
dipertahankan,-1
dipertanyakan,-2
dipotong,-1
dipromosikan,1
dipuja,3
dipuji,3
dipukuli,-2
dipulihkan,1
diragukan,-1
diratifikasi,2
dirayakan,3
direkomendasikan,2
diremehkan,-2
diretas,-1
dirugikan,-2
dirusak,-2
disahkan,2
disalahartikan,-2
disalahgunakan,-3
disalahkan,-2
disayangi,2
disebut-sebut,-2
diselamatkan,2
disembah,3
disempurnakan,2
disengketakan,-2
disensor,-2
diserang,-1
diserap,1
diseret,-1
disetujui,2
disfungsi,-2
disiksa,-4
disimpan,2
disorientasi,-2
distimulasi,1
distorsi,-2
disukai,2
ditahan,-2
ditakdirkan,-2
ditakuti,-2
ditangguhkan,-1
ditangkap,-3
ditebus,2
ditekan,-2
ditentukan,2
diterima,1
diteror,-3
ditinggalkan,-2
ditingkatkan,2
ditipu,-3
ditolak,-1
ditunda,-1
ditunggu,-1
dituntut,-2
ditusuk,-2
diuntungkan,2
diusir,-2
divalidasi,1
diyakinkan,1
dorongan,2
dukungan,2
efektif,2
egois,-3
eksklusif,2
eksploitasi,-2
eksplorasi,1
elegan,2
empati,2
enak,3
energik,2
enggan,-2
erangan,-2
etis,2
euforia,4
fanatik,-2
fantastis,4
fasis,-2
favorit,2
flu,-2
fobia,-2
fokus,2
frustrasi,-2
fud,-3
funky,2
gagah,3
gagal,-2
ganas,-2
gangguan,-2
ganjil,-2
garis miring,-2
gatal,-2
geli,3
gelisah,-1
gembira,3
gemetar,-2
giat,1
gila,-3
glamor,3
gondong,-2
goyah,-2
gratis,1
gugatan,-2
gugup,-2
guncangan,-2
ha,2
habis,-2
hadiah,2
haha,3
hahaha,3
hambar,-2
hambatan,-2
hancur,-3
hancurkan,-1
hangat,1
hantu,-1
harapan,2
harta karun,2
hasutan,-2
hati-hati,2
hebat,4
heroik,3
hibah,1
hiburan,3
hidup,2
hilang,-2
hindari,-1
histeria,-3
histeris,-3
homo,-3
hooligan,-2
hooliganisme,-2
hore,5
huh,-2
hujan,-1
hukum,3
hukuman,-2
humor,2
hutang,-2
ilegal,-3
ilmu semu,-3
iman,1
imbalan,2
impoten,-2
indah,3
informasi yang salah,-2
inginkan,1
inkuisisi,-2
inovasi,1
inovatif,2
inspirasi,2
inspiratif,2
integritas,2
intens,1
interupsi,-2
intimidasi,-2
intrik,1
iri,-2
ironi,-1
ironis,-1
iseng,-2
istimewa,2
izinkan,1
jahat,-3
jalang,-5
jaminan,1
janda,-1
janji,1
jatuh,-2
jatuhkan,-1
jebakan,-1
jelas,1
jelek,-3
jengkel,2
jepit,-2
jijik,-3
jujur,2
kabut asap,-2
kacau,-3
kaget,-2
kagum,2
kalah,-3
kalah manuver,-2
kalimat,-2
kambing hitam,-2
kanker,-1
kapak,-1
karya agung,4
kasar,-3
kasih sayang,3
kata-kata kasar,-3
kaya,2
keadilan,2
keajaiban,3
keamanan,1
kebahagiaan,3
kebaikan,3
kebal,2
kebebasan,2
keberanian,3
keberuntungan,3
kebetulan,-2
kebocoran,-1
kebugaran,1
kebuntuan,-2
kecaman,-2
kecelakaan,-2
kecemasan,-2
kecerahan,1
kecewa,-2
kecualikan,-1
kedua,3
keegoisan,-3
kegagalan,-3
kegelapan,-1
kegelisahan,-2
kegembiraan,3
kegilaan,-2
kegunaan,2
kehancuran,-3
kehangatan,2
kehormatan,2
keindahan,3
keinginan,2
kejahatan,-3
kejam,-3
kejelasan,2
keji,-3
kejutan,-2
kekacauan,-2
kekanak-kanakan,-2
kekayaan,3
kekebalan tubuh,1
kekecewaan,-2
kekejaman,-3
kekerasan,-3
kekesalan,-2
kekosongan,-1
kekuatan,2
kekurangan,-2
kelambanan,-2
kelaparan,-2
kelebihan,2
kelebihan beban,-1
kelebihan berat badan,-1
kelelahan,-2
kelemahan,-2
kelesuan,-2
kemajuan,2
kemampuan,2
kemarahan,-2
kematian,-3
kemauan,2
kemenangan,4
kemiskinan,-1
kemudahan,2
kemuliaan,2
kenakalan,-1
kencing,-4
kenyamanan,2
keparat,-4
kepentingan,1
kepercayaan,1
kepercayaan diri,2
kepuasan,2
keputusasaan,-2
keracunan,-2
keraguan,-1
keras,-2
keras kepala,-2
keren,1
kerentanan,-2
kerinduan,1
kerugian,-3
kerusakan,-3
kerusuhan,-2
kesal,-3
kesalahan,-2
kesalahpahaman,-2
kesedihan,-3
kesempatan,2
kesenangan,3
kesengsaraan,-2
kesepian,-2
keserakahan,-3
kesetiaan,3
kesukaan,2
kesuksesan,2
kesulitan,-2
kesuraman,-1
kesusahan,-2
ketakutan,-3
ketat,3
ketegangan,-1
ketenaran,1
keterasingan,-2
ketidakadilan,-2
ketidakbergunaan,-2
ketidakberuntungan,-2
ketidakmampuan,-2
ketidaknyamanan,-2
ketidakpedulian,-2
ketidakpekaan,-2
ketidakpercayaan,-3
ketidaktahuan,-2
ketinggalan,-1
ketulusan,2
keunggulan,3
keuntungan,2
khawatir,-3
khusyuk,-1
kios,-2
kipas angin,3
komedi,1
komitmen,2
kompeten,2
kompetitif,2
komprehensif,2
konflik,-2
konspirasi,-3
kontol,-4
kontroversial,-2
konyol,-1
korban,-2
korban jiwa,-3
kosong,-1
kotor,-2
kotoran,-2
kram,-1
kreatif,2
kriminal,-3
krisis,-3
kritik,-2
kritikus,-2
kuat,2
kuburan,-2
kutukan,-1
lalu,2
lamban,-2
landmark,2
lanjutan,1
larangan,-2
layak,2
lebih baik,2
lebih besar,3
lebih buruk,-3
lebih gila,-2
lebih keras,2
lebih kotor,-2
lebih kuat,2
lebih licin,2
lebih lucu,4
lebih miskin,-2
lebih pintar,2
lebih ramah,2
lebih rendah,-2
lega,2
lelah,-2
lelucon,2
lemah,-2
lembut,2
lesu,-2
licik,-1
licin,2
limbah,-1
lincah,2
litigasi,-1
lmfao,4
lobi,-2
lolos,-1
longgar,-3
luar biasa,5
lucu,4
lunak,1
lupa,-1
lupakan,-1
luring,-1
lurus,1
maaf,2
maafkan,1
mabuk,-2
macet,-2
mahal,-2
main-main,2
malang,-2
malapetaka,-2
malas,-1
malu,-2
malu-malu,-2
mampu,1
manfaat,2
manipulasi,-1
manis,2
marah,-3
masalah,-2
mati,-3
mati rasa,-1
mayat,-1
medali,3
meditasi,1
melakukan,1
melanggar,-2
melankolis,-2
melarikan diri,-1
melebih-lebihkan,-2
melegakan,2
melelahkan,-2
melemahkan,-2
melenyapkan,-2
meleset,-2
melindungi,1
memaafkan,2
memadai,1
memaksa,-1
memaksakan,-1
memalsukan,-3
memalukan,-3
memanipulasi,-1
memanjang,1
memarahi,-2
memastikan,1
membahayakan,-2
membaik,2
membanting,-2
membantu,2
membatalkan,-1
membatasi,-2
membatu,-2
membebani,-2
membebaskan,2
membenarkan,2
memberi manfaat,2
memberkati,2
membersihkan,1
